epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.554,1.73792,1.4149,1.72593,0.06361,0.49644,0.04997,0.02013,2.11569,26.3468,2.57355,0.00065942,0.00065942,0.00065942
2,240.745,1.68724,1.08315,1.67117,0.60033,0.61744,0.62364,0.29987,1.82609,2.83918,1.894,0.00106352,0.00106352,0.00106352
3,364.455,1.63821,1.01995,1.63826,0.70718,0.70641,0.71209,0.35229,1.73033,1.58096,1.79126,0.00120362,0.00120362,0.00120362
4,489.429,1.55648,0.89828,1.57986,0.79967,0.75445,0.79965,0.41534,1.63574,1.01578,1.7203,0.000812,0.000812,0.000812
5,613.597,1.45434,0.79567,1.50204,0.85043,0.84282,0.89481,0.51899,1.47802,0.73315,1.56728,0.000416,0.000416,0.000416
1,117.929,1.73792,1.4149,1.72593,0.06361,0.49644,0.04997,0.02013,2.11569,26.3468,2.57355,0.00065942,0.00065942,0.00065942
2,242.402,1.68724,1.08315,1.67117,0.60033,0.61744,0.62364,0.29987,1.82609,2.83918,1.894,0.00106352,0.00106352,0.00106352
3,366.676,1.63821,1.01995,1.63826,0.70718,0.70641,0.71209,0.35229,1.73033,1.58096,1.79126,0.00120362,0.00120362,0.00120362
4,490.934,1.55648,0.89828,1.57986,0.79967,0.75445,0.79965,0.41534,1.63574,1.01578,1.7203,0.000812,0.000812,0.000812
5,615.966,1.45434,0.79567,1.50204,0.85043,0.84282,0.89481,0.51899,1.47802,0.73315,1.56728,0.000416,0.000416,0.000416
1,36.9048,1.74775,1.246,1.45142,0.24109,0.55516,0.18616,0.08181,1.86651,8.90286,1.78028,0.00065942,0.00065942,0.00065942
2,78.545,1.69311,0.97661,1.40643,0.64022,0.63998,0.61904,0.29433,1.78585,2.15975,1.52094,0.00106352,0.00106352,0.00106352
3,116.792,1.65726,0.93801,1.39073,0.70266,0.68446,0.72501,0.37938,1.62186,1.20166,1.41612,0.00120362,0.00120362,0.00120362
4,157.492,1.57892,0.84101,1.3461,0.81946,0.81198,0.83942,0.45311,1.56282,0.83553,1.367,0.000812,0.000812,0.000812
5,197.434,1.45743,0.75222,1.28086,0.86717,0.81198,0.87375,0.4936,1.45323,0.70215,1.28227,0.000416,0.000416,0.000416
1,33.6502,1.78534,2.21375,1.49046,0.01017,0.38909,0.00701,0.00282,nan,nan,nan,0.00044,0.00044,0.00044
1,34.7629,1.78534,2.21375,1.49046,0.01017,0.38909,0.00701,0.00282,nan,nan,nan,0.00044,0.00044,0.00044
